,Feature,Mean,Std Dev
0,RappMaxMean,11.095430866,7.54138749115
1,RappMaxMedian,30.6381344265,86.9545675662
2,AsDec,0.872060190466,0.701873062375
3,KurtoSig,54.8561328782,62.6099532986
4,KurtoEnv,25.0019433833,21.0132403928
5,SkewSig,-0.0253270124047,0.884337773969
6,SkewEnv,3.85753387681,2.24082596586
7,CorPeakNumber,897.871490881,242.814962256
8,Energy1/3Cor,-0.529114442861,72.8509077791
9,Energy2/3Cor,-0.83130603718,73.7835573639
10,int_ratio,-0.474694885526,27.2367340338
11,MeanFFT,4.05535144394,2.15761645582
12,MaxFFT,102.195978328,82.3865981744
13,FMaxFFT,3.94714909386,2.36579505483
14,MedianFFT,5.87109445687e-07,6.92116434644e-07
15,VarFFT,9.93426754741e-08,3.11240783624e-08
16,FCentroid,5.95338550214,1.0629720417
17,Fquart3,28.4569830925,1.72613713391
18,NPeakFFT,9.35377832413,7.75704837952
19,MeanPeaksFFT,7.22522438016,5.70727127389
20,E2FFT,8.96401178799,7.74263713553
21,E3FFT,0.0605489739629,0.0901781069821
22,E4FFT,0.00101687362515,0.00190627268529
23,KurtoMaxDFT,28.5413034389,17.9282061457
24,KurtoMedianDFT,22.2875603156,16.1388251172
25,MaxOverMeanDFT,32.2093230837,8.22662102504
26,MaxOverMedianDFT,414030826.306,739092429.344
27,NbrPeaksMaxDFT,18.7454049007,1.99465093649
28,NbrPeaksMeanDFT,17.4507038924,2.13505887138
29,NbrPeaksMedianDFT,18.5482204702,1.99935432005
30,45/46,1.083433086,0.125856975275
31,45/47,1.02148944381,0.14906686107
32,NbrPeaksCentralFreq,20.1623680571,1.88093770079
33,NbrPeaksMaxFreq,18.2824966608,2.45223870696
34,50/51,1.12362225844,0.194924173141
35,DistMaxMeanFreqDTF,0.0060254929242,0.00817220631768
36,DistQ2Q1DFT,0.364529555045,0.71158627829
37,DistQ3Q2DFT,-0.283675147977,0.699878266552
38,DistQ3Q1DFT,0.080854407068,0.89911147829
39,Peak_Envelope_Amplitude,0.537760660264,0.108762301201
40,Average_Envelope_Amplitude,0.0783332647024,0.0638072419287
41,Envelope_Rise_Time,64.9684254073,15.4371914065
42,E_0.1_1,0.0723904801341,0.519612592052
43,Kurto_0.1_1,6.32466128683,11.0843278675
44,E_1_3,0.663345790729,0.391011871078
45,Kurto_1_3,19.7346108387,24.1573282047
46,E_3_10,0.810079438929,0.30459034518
47,E_10_20,0.174021697686,0.347734350261
48,Kurto_10_20,72.8565086641,76.3283200341
49,0_FFT mean coefficient_0,3.48435346205e-05,7.98287422685e-05
50,0_FFT mean coefficient_1,3.47628601859e-05,0.000136329446437
51,0_FFT mean coefficient_2,0.000119945541472,0.000506894220347
52,0_FFT mean coefficient_3,0.000376161366645,0.00146588248506
53,0_FFT mean coefficient_4,0.000934405872649,0.00303811778334
54,0_FFT mean coefficient_5,0.00174791439451,0.00483688867814
55,0_FFT mean coefficient_6,0.00207923597672,0.00508228725922
56,0_FFT mean coefficient_7,0.0019463304841,0.0042901624943
57,0_FFT mean coefficient_8,0.00188564653394,0.00386145011205
58,0_FFT mean coefficient_9,0.00178050444511,0.00347377384769
59,0_FFT mean coefficient_10,0.00173276501074,0.00324877045086
60,0_FFT mean coefficient_11,0.00170543505041,0.00313196333456
61,0_FFT mean coefficient_12,0.00161189863403,0.00282881191313
62,0_FFT mean coefficient_13,0.00162179618763,0.00281248337243
63,0_FFT mean coefficient_14,0.00164118372378,0.00284092855257
64,0_FFT mean coefficient_15,0.0016143116371,0.00283354259302
65,0_FFT mean coefficient_16,0.00154017811107,0.00260050814539
66,0_FFT mean coefficient_17,0.00152490156394,0.00263576319292
67,0_FFT mean coefficient_18,0.00142304910803,0.00241109719839
