Feature,Mean,Std Dev
0_FFT mean coefficient_0,2.58613288323e-05,7.25618650279e-05
0_FFT mean coefficient_1,7.4447751205e-06,3.59671448068e-05
0_FFT mean coefficient_2,3.29950186936e-05,0.000174537416586
0_FFT mean coefficient_3,9.1811690251e-05,0.000485791336905
0_FFT mean coefficient_4,0.000212554965631,0.00110667996189
0_FFT mean coefficient_5,0.000429955051266,0.00208983515462
0_FFT mean coefficient_6,0.000779364886605,0.00350651076938
0_FFT mean coefficient_7,0.001285830732,0.00527108849539
0_FFT mean coefficient_8,0.00195894146218,0.00727552237703
0_FFT mean coefficient_9,0.00276397471992,0.00932768680709
0_FFT mean coefficient_10,0.00354370165678,0.0108807166576
0_FFT mean coefficient_11,0.00390936660627,0.0110521536545
0_FFT mean coefficient_12,0.00381677961455,0.0100794992667
0_FFT mean coefficient_13,0.00358300805387,0.00892096388107
0_FFT mean coefficient_14,0.00327539284076,0.00763963020335
0_FFT mean coefficient_15,0.00306398916506,0.00677545164618
0_FFT mean coefficient_16,0.00298099381579,0.00652192555823
0_FFT mean coefficient_17,0.00280682252966,0.00589260519392
0_FFT mean coefficient_18,0.00268764012676,0.00555775100303
0_FFT mean coefficient_19,0.00266627662297,0.00545104400799
0_FFT mean coefficient_20,0.00258474701166,0.00517065982379
0_FFT mean coefficient_21,0.00245585651303,0.00480176552495
0_FFT mean coefficient_22,0.00261350972331,0.00546812680198
0_FFT mean coefficient_23,0.00233936245858,0.00446960516713
0_FFT mean coefficient_24,0.00232597422535,0.00438124536617
0_FFT mean coefficient_25,0.00232795709434,0.00441542263099
0_FFT mean coefficient_26,0.00234766513434,0.00448624241589
0_FFT mean coefficient_27,0.00241213869512,0.00468364475686
0_FFT mean coefficient_28,0.00239707695857,0.0046032796334
0_FFT mean coefficient_29,0.00235075165477,0.00455773942827
0_FFT mean coefficient_30,0.00235911875566,0.0046461098312
0_FFT mean coefficient_31,0.00235858397682,0.00480768194418
0_FFT mean coefficient_32,0.00221897799252,0.00433084365057
0_FFT mean coefficient_33,0.00218094979222,0.00428833879691
0_FFT mean coefficient_34,0.00224506377921,0.00472696420257
0_FFT mean coefficient_35,0.0022912074417,0.00518125582629
0_FFT mean coefficient_36,0.00208142615216,0.00435680690607
0_FFT mean coefficient_37,0.00188799435779,0.00364682767787
0_FFT mean coefficient_38,0.00185807991872,0.00365940193364
0_FFT mean coefficient_39,0.00177145181652,0.00352474945603
0_FFT mean coefficient_40,0.00168892942663,0.00330249780966
0_FFT mean coefficient_41,0.00162445051024,0.00312235043313
0_FFT mean coefficient_42,0.00154539571311,0.0029180904424
0_FFT mean coefficient_43,0.00151083431674,0.00277521428987
0_FFT mean coefficient_44,0.00144111112898,0.00257704123822
0_FFT mean coefficient_45,0.00132710449603,0.00224772299989
0_FFT mean coefficient_46,0.00125664698319,0.0020569374298
0_FFT mean coefficient_47,0.0012038568702,0.00192123070853
0_FFT mean coefficient_48,0.00117493234183,0.00190031866805
0_FFT mean coefficient_49,0.00115644153668,0.00189780534221
0_FFT mean coefficient_50,0.00112448524843,0.00180314010847
0_FFT mean coefficient_51,0.00114124895985,0.00185908678436
0_FFT mean coefficient_52,0.00108836100113,0.00172981399142
0_FFT mean coefficient_53,0.00108240465627,0.0017588521713
0_FFT mean coefficient_54,0.00109407430605,0.00184282839446
0_FFT mean coefficient_55,0.00111790743088,0.00201656311397
0_FFT mean coefficient_56,0.00108663379301,0.00181885141825
0_FFT mean coefficient_57,0.00106612642214,0.00175947982535
0_FFT mean coefficient_58,0.00111374005792,0.00199431302022
0_FFT mean coefficient_59,0.00106737542967,0.00179185341018
0_FFT mean coefficient_60,0.00105506639275,0.00177009582813
0_FFT mean coefficient_61,0.00106850982627,0.00181771419025
0_FFT mean coefficient_62,0.00102819224667,0.00174076569004
0_FFT mean coefficient_63,0.00100303683745,0.00170749904837
0_FFT mean coefficient_64,0.000965572191448,0.00158344711223
0_FFT mean coefficient_65,0.000935396459443,0.00149874932172
0_FFT mean coefficient_66,0.000912821628638,0.00144348555821
0_FFT mean coefficient_67,0.000896916410197,0.00141413240021
0_FFT mean coefficient_68,0.000891672121573,0.00140321542191
0_FFT mean coefficient_69,0.000880389644307,0.00141632841794
0_FFT mean coefficient_70,0.000907062714809,0.00155858108672
0_FFT mean coefficient_71,0.000907598123165,0.0015730870638
0_FFT mean coefficient_72,0.000897568963335,0.00151931755751
0_FFT mean coefficient_73,0.000990800704252,0.0020174712434
0_FFT mean coefficient_74,0.000879245856611,0.00152215937535
0_FFT mean coefficient_75,0.000836451878511,0.00139400777864
0_FFT mean coefficient_76,0.000836455836577,0.00146934104681
0_FFT mean coefficient_77,0.000828371305409,0.00148546866835
0_FFT mean coefficient_78,0.000800375930047,0.00138740510812
0_FFT mean coefficient_79,0.000797149328883,0.00142887870931
0_FFT mean coefficient_80,0.000799049712421,0.00150599089988
0_FFT mean coefficient_81,0.00076168521055,0.00137168227549
0_FFT mean coefficient_82,0.000744889059489,0.00133541064497
0_FFT mean coefficient_83,0.00072813996455,0.00133704385395
0_FFT mean coefficient_84,0.000712470652667,0.00133204593481
0_FFT mean coefficient_85,0.000697384876775,0.00132526908334
0_FFT mean coefficient_86,0.000681586967341,0.00132654802686
0_FFT mean coefficient_87,0.000687450831783,0.00139686317346
0_FFT mean coefficient_88,0.000660315903547,0.00132190626251
0_FFT mean coefficient_89,0.000619749460897,0.00120450801301
0_FFT mean coefficient_90,0.000589591808008,0.00112485122945
