,Feature,Mean,Std Dev
0,RappMaxMean,22.6918394732,16.4307552753
1,RappMaxMedian,64.2712479405,137.120664823
2,AsDec,0.910005359804,1.0983683646
3,KurtoSig,54.862034397,61.5327348671
4,KurtoEnv,55.5793549711,54.9850802602
5,SkewSig,-0.025391426303,0.884119291337
6,SkewEnv,5.42239108963,3.06177701645
7,CorPeakNumber,897.293185189,245.444193217
8,Energy1/3Cor,-0.456893617435,74.9484223471
9,Energy2/3Cor,-0.834497739458,75.2412178718
10,int_ratio,-0.544401211086,22.0893994358
11,E_0.1_1,2.05244788913e+252,inf
12,E_1_3,0.683897669427,0.381306979877
13,E_3_10,0.812021454259,0.308963251512
14,E_10_20,0.274329709999,0.332154521959
15,E_20_50,1.981584578e-116,8.20081596638e-114
16,Kurt_0.1_1,1.33643220668e+238,inf
17,Kurt_1_3,24.8007659215,30.5598496541
18,Kurt_3_10,64.6169298992,67.4037605858
19,Kurt_10_20,79.4200648485,83.8355302732
20,Kurt_20_50,2.79504796549e+175,inf
21,RMSDecPhaseLine,0.658979057864,0.63316441376
22,MeanFFT,4.0698950028,2.20055210589
23,MaxFFT,103.179996104,84.4620835594
24,FMaxFFT,3.95788163995,2.37142197066
25,MedianFFT,0.0219656187496,0.028972276284
26,VarFFT,122.367624028,160.577268257
27,FCentroid,5.9639355401,1.08470053927
28,Fquart1,5.53803351469,0.926629824124
29,Fquart3,28.8172279019,1.74360401676
30,NPeakFFT,9.39595618716,7.81196603972
31,MeanPeaksFFT,7.27779641277,5.81068509277
32,E1FFT,194.28661203,105.50583458
33,E2FFT,9.03984924688,7.82163485387
34,E3FFT,0.102768950248,0.156726025018
35,E4FFT,0.0390878743669,0.113953680276
36,Gamma1,5.04291640647,1.41589996782
37,Gamma2,5.62167829501,1.38551330726
38,KurtoMaxDFT,28.8311302751,17.9783268588
39,KurtoMedianDFT,22.4163807,16.2465347397
40,MaxOverMeanDFT,32.256896337,8.26367668099
41,MaxOverMedianDFT,409990674.378,737334981.299
42,NbrPeaksMaxDFT,18.9762427455,2.0325083357
43,NbrPeaksMeanDFT,17.7828508705,2.22452557099
44,NbrPeaksMedianDFT,18.7798381541,2.05921162528
45,45/46,1.07642472738,0.123603944973
46,45/47,1.02126466868,0.147825904222
47,NbrPeaksCentralFreq,20.1674568236,1.88113219991
48,NbrPeaksMaxFreq,18.9762427455,2.0325083357
49,50/51,1.07348238382,0.141811150233
